Date,Moment,ArtistFrom,AlbumFrom,SongFrom,ArtistTo,AlbumTo,SongTo,RootNode,AlbumSong,Repetitions,Device,isStreaming,isFirstListeningAlbum,Notes
12-12-2017,Evening,Led Zeppelin,Led Zeppelin IV,When The Levee Breaks,Led Zeppelin,Led Zeppelin IV,When The Levee Breaks,Y,S,3,Smartphone,N,N,
12-12-2017,Evening,Deadmau5,Random Album Title,I Remember,Deadmau5,Random Album Title,I Remember,Y,S,8,Smartphone,N,N,
12-12-2017,Evening,Deadmau5,Random Album Title,I Remember,Muse,The 2nd Law,Animals,N,S,10,Smartphone,N,N,
12-12-2017,Evening,Muse,The 2nd Law,Animals,Mogwai,"Hardcore Will Never Die, But You Will.",White Noise,N,A,1,Laptop,N,N,
12-12-2017,Evening,Mogwai,"Hardcore Will Never Die, But You Will.",Too Raging To Cheers,Mogwai,Rave Tapes,Heard About You Last Night,N,S,3,Laptop,N,N,
13-12-2017,Evening,Mogwai,Rave Tapes,Heard About You Last Night,Radiohead,Amnesiac,Pyramid Song,N,S,7,Smartphone,N,N,
14-12-2017,Morning,The Bloody Beetroots,Romborama,Romborama,The Bloody Beetroots,Romborama,Romborama,Y,S,10,Smartphone,N,N,
